src_action_id,publisher_id,action_name,action_type,action_role,stable_id,short_label,sector_path,mapping_confidence,rationale
icare_0001,icare,Improve heat and energy recovery,mitigation,transition_element,heat_pumps_in_non_residential_industrial_buildings,T-4B1c-TE-3 - Shift to heat pumps in industrial buildings,Buildings > Non Residential > Hvac > Other Hvac,medium,Where recovery is implemented via high-temp heat pumps / electrification of heat this industrial-building TE applies.
icare_0001,icare,Improve heat and energy recovery,mitigation,transition_element,shift_to_electricity_in_other_industries,T-2D5-TE-3 - Shift to electricity in other industries,Industry > Other > Other,low,General industrial fuel switching envelope when waste heat recovery reduces fossil firing; imperfect proxy.
icare_0002,icare,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,mitigation,intervention,energy_efficient_new_housing,T-4A1-TE-1 - Energy efficient new Housing,Buildings > Residential > Hvac,medium,Labels drive performance toward efficient new residential energy outcomes.
icare_0002,icare,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,mitigation,intervention,energy_efficient_new_commercial_buildings,T-4B1a-TE-9 - Energy efficient new Commercial Buildings,Buildings > Non Residential > Hvac > Commercial Hvac,medium,Public/commercial new-build efficiency outcomes.
icare_0002,icare,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,mitigation,intervention,energy_efficient_other_residential_electric_appliances,T-4A2d-TE-1 - Energy efficient residential electrical appliances,Buildings > Residential > Other Energy Usage > Unregulated,low,Building labels often bundle appliance performance expectations.
icare_0006,icare,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,mitigation,intervention,solar_rooftops,T-5A1-TE-8 - Electricity from solar rooftops,Energy > Energy Supply > Electricity,high,Distributed solar for microgrids.
icare_0006,icare,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,mitigation,intervention,improved_grid_electricity,T-5A1-TE-3 - Improved Grid Electricity,Energy > Energy Supply > Electricity,medium,Microgrids interact with grid quality and future grid emission factor; this is the closest grid TE.
icare_0006,icare,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,mitigation,intervention,wind_onshore,T-5A1-TE-10 - Electricity from wind onshore,Energy > Energy Supply > Electricity,low,Integrated regional planning may include onshore wind in peri-urban hubs.
icare_0008,icare,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,mitigation,intervention,improved_grid_electricity,T-5A1-TE-3 - Improved Grid Electricity,Energy > Energy Supply > Electricity,high,Smart grid and storage improve effective grid carbon intensity and integration—mapped to improved grid electricity TE.
icare_0009,icare,Deploy cogeneration systems in industries,mitigation,intervention,chp_natural_gas,T-5A3-TE-3 - CHP from natural gas,Energy > Energy Supply > Combined Heat Power,high,Industrial CHP with fossil gas is the default cogeneration pathway in TEF.
icare_0009,icare,Deploy cogeneration systems in industries,mitigation,intervention,chp_biofuels,T-5A3-TE-5 - CHP from biomass,Energy > Energy Supply > Combined Heat Power,medium,Biomass CHP when plants use biogenic fuel.
icare_0010,icare,Promote Net-Zero and Green Building Certifications,mitigation,intervention,energy_efficient_new_commercial_buildings,T-4B1a-TE-9 - Energy efficient new Commercial Buildings,Buildings > Non Residential > Hvac > Commercial Hvac,high,Certification drives high-performance new commercial/public HVAC energy outcomes.
icare_0010,icare,Promote Net-Zero and Green Building Certifications,mitigation,intervention,low_carbon_construction_of_non_residential_commercial_buildings,T-4C1-TE-3 - Low carbon construction of commercial buildings,Buildings > Building Stocks > Construction,high,Net-zero / embodied carbon framing aligns with low-carbon construction TE.
icare_0010,icare,Promote Net-Zero and Green Building Certifications,mitigation,intervention,energy_efficient_new_housing,T-4A1-TE-1 - Energy efficient new Housing,Buildings > Residential > Hvac,medium,Residential certification track.
icare_0010,icare,Promote Net-Zero and Green Building Certifications,mitigation,intervention,low_carbon_construction_of_multi_family_residential_housing,T-4C1-TE-2 - Low carbon construction of multi-family buildings,Buildings > Building Stocks > Construction,medium,Multifamily low-carbon new construction.
icare_0012,icare,Expand solar energy generation on municipal facilities and public assets,mitigation,intervention,solar_rooftops,T-5A1-TE-8 - Electricity from solar rooftops,Energy > Energy Supply > Electricity,high,Rooftop PV on municipal buildings is exactly this TE.
icare_0015,icare,Promote Mini and Micro-Hydropower and Biomass Energy,mitigation,intervention,hydro_reservoir,T-5A1-TE-6 - Electricity from hydro reservoir,Energy > Energy Supply > Electricity,medium,Hydroelectric supply TE (closest to hydropower generation in catalog).
icare_0015,icare,Promote Mini and Micro-Hydropower and Biomass Energy,mitigation,intervention,biofuel_fired_power_plants,T-5A1-TE-11 - Electricity from biomass power plants,Energy > Energy Supply > Electricity,high,Biomass-to-electricity supply TE.
icare_0016,icare,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",mitigation,intervention,heat_pumps_in_multi_family_residential_buildings,T-4A1a-TE-1 - Shift to heat pumps in multi-family buildings,Buildings > Residential > Hvac > Multi Family Hvac,high,Heat pump space/water heating in multifamily.
icare_0016,icare,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",mitigation,intervention,heat_pumps_in_single_family_residential_buildings,T-4A1b-TE-1 - Shift to heat pumps in single-family buildings,Buildings > Residential > Hvac > Single Family Hvac,high,Single-family segment.
icare_0016,icare,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",mitigation,intervention,heat_pumps_in_non_residential_commercial_buildings,T-4B1a-TE-3 - Shift to heat pumps in commerical buildings,Buildings > Non Residential > Hvac > Commercial Hvac,high,Commercial buildings.
icare_0016,icare,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",mitigation,intervention,heat_pumps_in_non_residential_public_buildings,T-4B1b-TE-3 - Shift to heat pumps in public buildings,Buildings > Non Residential > Hvac > Institutional Hvac,high,Public/institutional buildings.
icare_0016,icare,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",mitigation,intervention,shift_to_solar_thermal_in_multi_family_buildings,T-4A1a-TE-4 - Shift to solar thermal in multi-family buildings,Buildings > Residential > Hvac > Multi Family Hvac,high,Solar thermal for multifamily hot water/heating.
icare_0016,icare,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",mitigation,intervention,shift_to_solar_thermal_in_single_family_buildings,T-4A1b-TE-4 - Shift to solar thermal in single-family buildings,Buildings > Residential > Hvac > Single Family Hvac,high,Single-family solar thermal.
icare_0016,icare,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",mitigation,intervention,shift_to_solar_thermal_in_commercial_buildings,T-4B1a-TE-5 - Shift to solar thermal in commercial buildings,Buildings > Non Residential > Hvac > Commercial Hvac,high,Commercial solar thermal.
icare_0016,icare,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",mitigation,intervention,shift_to_solar_thermal_in_public_buildings,T-4B1b-TE-5 - Shift to solar thermal in public buildings,Buildings > Non Residential > Hvac > Institutional Hvac,high,Public solar thermal.
icare_0023,icare,Upgrade and maintain electrical substations,mitigation,intervention,improved_grid_electricity,T-5A1-TE-3 - Improved Grid Electricity,Energy > Energy Supply > Electricity,medium,Substation hardening reduces losses and enables cleaner dispatch; closest TE is improved grid electricity.
icare_0024,icare,Integrate renewables into municipal water systems,mitigation,intervention,solar_rooftops,T-5A1-TE-8 - Electricity from solar rooftops,Energy > Energy Supply > Electricity,high,Water plants often use rooftop or ground-mount PV adjacent to facilities; rooftop TE is primary analogue.
icare_0024,icare,Integrate renewables into municipal water systems,mitigation,intervention,wind_onshore,T-5A1-TE-10 - Electricity from wind onshore,Energy > Energy Supply > Electricity,low,Possible PPA wind for large pumping loads.
icare_0025,icare,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,mitigation,intervention,energy_efficient_multi_family_residential_buildings_retrofitting,T-4A1a-TE-6 - Retrofitting multi-family buildings for efficient heating,Buildings > Residential > Hvac > Multi Family Hvac,high,Informal/upgraded housing often dense multifamily-like retrofits.
icare_0025,icare,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,mitigation,intervention,heat_pumps_in_multi_family_residential_buildings,T-4A1a-TE-1 - Shift to heat pumps in multi-family buildings,Buildings > Residential > Hvac > Multi Family Hvac,medium,Efficient heating technology upgrades in upgraded housing.
