Period,Operator,Registration Number,Brand/Flag,Deregistration Date,Tax ID,Business Type,Address,Locality,Province,Product,Marketing/Distribution Channel,Price without Taxes,Price with Taxes,Volume,Pump Price,No Movements,Exempt,Price without taxes,Price with taxes,Pump price
2022-01-01 0:00:00,DELTAPATAGONIA SA,9629,No brand,,30-71537092-8,Wholesale marketer (bulk sale),Av. N. Alem 822 3A,Mendoza,MENDOZA,Diesel Grade 3,"Service stations, storage and distribution",63.5,91.12,268.0,0.0,NO,0.0,,,
2022-01-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 2,Other sectors,60.363,89.861,0.11,0.0,NO,0.0,,,
2022-01-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 2,Resale to other service stations,50.301,74.438,120.65,0.0,NO,0.0,,,
2022-01-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Premium gasoline over 95 octane,Resale to other service stations,53.519,84.181,112.26,0.0,NO,0.0,,,
2022-01-01 0:00:00,REFI PAMPA SA,9677,No brand,,30-71215690-9,Not available,YACIMIENTO MEDANITO ESTE,Mendoza,MENDOZA,Diesel Grade 2,Resale to other service stations,79.94,110.302,36.0,0.0,NO,0.0,,,
2022-01-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Jet fuel,"Commercial air transport, international",68.88432,68.88432,550.275,0.0,NO,0.0,,,
2022-02-01 0:00:00,DELTAPATAGONIA SA,9629,No brand,,30-71537092-8,Wholesale marketer (bulk sale),Av. N. Alem 822 3A,Mendoza,MENDOZA,Diesel Grade 3,"Service stations, storage and distribution",72.99,101.89,218.0,0.0,NO,0.0,,,
2022-02-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Super gasoline between 92 and 95 octane,Freight transport,64.827,101.285,0.69,0.0,NO,0.0,,,
2022-02-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Premium gasoline over 95 octane,Freight transport,77.234,114.411,0.66,0.0,NO,0.0,,,
2022-02-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Premium gasoline over 95 octane,Other sectors,79.425,117.12,0.3,0.0,NO,0.0,,,
